Diagnostic Code,Condition,Regulation,Link
5203,"Clavicle or scapula, impairment",38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5237,Lumbosacral or cervical strain,38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5243,Intervertebral disc syndrome,38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5257,"Knee, other impairment (instability)",38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5269,Plantar fasciitis,38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5276,"Flatfoot, acquired",38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5296,"Skull, Loss of part of",38 CFR § 4.71a,https://www.ecfr.gov/current/title-38/section-4.71a
5301,Muscle Group I (Shoulder Girdle),38 CFR § 4.73,https://www.ecfr.gov/current/title-38/section-4.73
5319,Muscle Group XIX (Torso/Neck),38 CFR § 4.73,https://www.ecfr.gov/current/title-38/section-4.73
6000,"Choroidopathy, including uveitis, iritis, cyclitis",38 CFR § 4.79,https://www.ecfr.gov/current/title-38/section-4.79
6006,Retinopathy or maculopathy not otherwise specified,38 CFR § 4.79,https://www.ecfr.gov/current/title-38/section-4.79
6011,"Retinal scars, atrophy, or irregularities",38 CFR § 4.79,https://www.ecfr.gov/current/title-38/section-4.79
6013,Open-angle glaucoma,38 CFR § 4.79,https://www.ecfr.gov/current/title-38/section-4.79
6026,Optic neuropathy,38 CFR § 4.79,https://www.ecfr.gov/current/title-38/section-4.79
6027,Cataract,38 CFR § 4.79,https://www.ecfr.gov/current/title-38/section-4.79
6030,"Accommodation, paralysis",38 CFR § 4.79,https://www.ecfr.gov/current/title-38/section-4.79
6034,Pterygium,38 CFR § 4.79,https://www.ecfr.gov/current/title-38/section-4.79
6040,Diabetic retinopathy,38 CFR § 4.79,https://www.ecfr.gov/current/title-38/section-4.79
6063,Anatomical loss of 1 eye,38 CFR § 4.79,https://www.ecfr.gov/current/title-38/section-4.79
6090,Diplopia,38 CFR § 4.79,https://www.ecfr.gov/current/title-38/section-4.79
6100,Hearing Loss (Evaluated via Tables VI/VII),38 CFR § 4.85,https://www.ecfr.gov/current/title-38/section-4.85
6200,Chronic suppurative otitis media,38 CFR § 4.87,https://www.ecfr.gov/current/title-38/section-4.87
6204,Peripheral vestibular disorders,38 CFR § 4.87,https://www.ecfr.gov/current/title-38/section-4.87
6205,Meniere’s syndrome,38 CFR § 4.87,https://www.ecfr.gov/current/title-38/section-4.87
6260,"Tinnitus, recurrent",38 CFR § 4.87,https://www.ecfr.gov/current/title-38/section-4.87
6275,"Smell, complete loss",38 CFR § 4.87a,https://www.ecfr.gov/current/title-38/section-4.87a
6276,"Taste, complete loss",38 CFR § 4.87a,https://www.ecfr.gov/current/title-38/section-4.87a
6351,HIV-Related Illness,38 CFR § 4.88b,https://www.ecfr.gov/current/title-38/section-4.88b
6354,Chronic Fatigue Syndrome (CFS),38 CFR § 4.88b,https://www.ecfr.gov/current/title-38/section-4.88b
6510,"Sinusitis, pansinusitis, chronic",38 CFR § 4.97,https://www.ecfr.gov/current/title-38/section-4.97
6522,Allergic or vasomotor rhinitis,38 CFR § 4.97,https://www.ecfr.gov/current/title-38/section-4.97
6602,"Asthma, bronchial",38 CFR § 4.97,https://www.ecfr.gov/current/title-38/section-4.97
6604,Chronic obstructive pulmonary disease,38 CFR § 4.97,https://www.ecfr.gov/current/title-38/section-4.97
6847,Sleep Apnea Syndromes,38 CFR § 4.97,https://www.ecfr.gov/current/title-38/section-4.97
7005,Arteriosclerotic heart disease,38 CFR § 4.104,https://www.ecfr.gov/current/title-38/section-4.104
7101,Hypertensive vascular disease,38 CFR § 4.104,https://www.ecfr.gov/current/title-38/section-4.104
7114,Peripheral arterial disease,38 CFR § 4.104,https://www.ecfr.gov/current/title-38/section-4.104
7120,Varicose veins,38 CFR § 4.104,https://www.ecfr.gov/current/title-38/section-4.104
7203,"Esophagus, stricture",38 CFR § 4.114,https://www.ecfr.gov/current/title-38/section-4.114
7206,Gastroesophageal reflux disease,38 CFR § 4.114,https://www.ecfr.gov/current/title-38/section-4.114
7304,Peptic ulcer disease,38 CFR § 4.114,https://www.ecfr.gov/current/title-38/section-4.114
7312,Cirrhosis of the liver,38 CFR § 4.114,https://www.ecfr.gov/current/title-38/section-4.114
7319,Irritable bowel syndrome (IBS),38 CFR § 4.114,https://www.ecfr.gov/current/title-38/section-4.114
